category,unicode,name,browser
Lu,U+0230,LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON,Ȱ
Lu,U+0232,LATIN CAPITAL LETTER Y WITH MACRON,Ȳ
Lu,U+023A,LATIN CAPITAL LETTER A WITH STROKE,Ⱥ
Lu,U+023B,LATIN CAPITAL LETTER C WITH STROKE,Ȼ
Lu,U+023D,LATIN CAPITAL LETTER L WITH BAR,Ƚ
Lu,U+023E,LATIN CAPITAL LETTER T WITH DIAGONAL STROKE,Ⱦ
Lu,U+0241,LATIN CAPITAL LETTER GLOTTAL STOP,Ɂ
Lu,U+0243,LATIN CAPITAL LETTER B WITH STROKE,Ƀ
Lu,U+0244,LATIN CAPITAL LETTER U BAR,Ʉ
Lu,U+0245,LATIN CAPITAL LETTER TURNED V,Ʌ
Lu,U+0246,LATIN CAPITAL LETTER E WITH STROKE,Ɇ
Lu,U+0248,LATIN CAPITAL LETTER J WITH STROKE,Ɉ
Lu,U+024A,LATIN CAPITAL LETTER SMALL Q WITH HOOK TAIL,Ɋ
Lu,U+024C,LATIN CAPITAL LETTER R WITH STROKE,Ɍ
Lu,U+024E,LATIN CAPITAL LETTER Y WITH STROKE,Ɏ
Lu,U+0370,GREEK CAPITAL LETTER HETA,Ͱ
Lu,U+0372,GREEK CAPITAL LETTER ARCHAIC SAMPI,Ͳ
Lu,U+0376,GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA,Ͷ
Lu,U+037F,GREEK CAPITAL LETTER YOT,Ϳ
Lu,U+0386,GREEK CAPITAL LETTER ALPHA WITH TONOS,Ά
Lu,U+0388,GREEK CAPITAL LETTER EPSILON WITH TONOS,Έ
Lu,U+0389,GREEK CAPITAL LETTER ETA WITH TONOS,Ή
Lu,U+038A,GREEK CAPITAL LETTER IOTA WITH TONOS,Ί
Lu,U+038C,GREEK CAPITAL LETTER OMICRON WITH TONOS,Ό
Lu,U+038E,GREEK CAPITAL LETTER UPSILON WITH TONOS,Ύ
Lu,U+038F,GREEK CAPITAL LETTER OMEGA WITH TONOS,Ώ
Lu,U+0391,GREEK CAPITAL LETTER ALPHA,Α
Lu,U+0392,GREEK CAPITAL LETTER BETA,Β
Lu,U+0393,GREEK CAPITAL LETTER GAMMA,Γ
Lu,U+0394,GREEK CAPITAL LETTER DELTA,Δ
Lu,U+0395,GREEK CAPITAL LETTER EPSILON,Ε
Lu,U+0396,GREEK CAPITAL LETTER ZETA,Ζ
Lu,U+0397,GREEK CAPITAL LETTER ETA,Η
Lu,U+0398,GREEK CAPITAL LETTER THETA,Θ
Lu,U+0399,GREEK CAPITAL LETTER IOTA,Ι
Lu,U+039A,GREEK CAPITAL LETTER KAPPA,Κ
Lu,U+039B,GREEK CAPITAL LETTER LAMDA,Λ
Lu,U+039C,GREEK CAPITAL LETTER MU,Μ
Lu,U+039D,GREEK CAPITAL LETTER NU,Ν
Lu,U+039E,GREEK CAPITAL LETTER XI,Ξ
Lu,U+039F,GREEK CAPITAL LETTER OMICRON,Ο
Lu,U+03A0,GREEK CAPITAL LETTER PI,Π
Lu,U+03A1,GREEK CAPITAL LETTER RHO,Ρ
Lu,U+03A3,GREEK CAPITAL LETTER SIGMA,Σ
Lu,U+03A4,GREEK CAPITAL LETTER TAU,Τ
Lu,U+03A5,GREEK CAPITAL LETTER UPSILON,Υ
Lu,U+03A6,GREEK CAPITAL LETTER PHI,Φ
Lu,U+03A7,GREEK CAPITAL LETTER CHI,Χ
Lu,U+03A8,GREEK CAPITAL LETTER PSI,Ψ
Lu,U+03A9,GREEK CAPITAL LETTER OMEGA,Ω
Lu,U+03AA,GREEK CAPITAL LETTER IOTA WITH DIALYTIKA,Ϊ
Lu,U+03AB,GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA,Ϋ
Lu,U+03CF,GREEK CAPITAL KAI SYMBOL,Ϗ
Lu,U+03D2,GREEK UPSILON WITH HOOK SYMBOL,ϒ
Lu,U+03D3,GREEK UPSILON WITH ACUTE AND HOOK SYMBOL,ϓ
Lu,U+03D4,GREEK UPSILON WITH DIAERESIS AND HOOK SYMBOL,ϔ
Lu,U+03D8,GREEK LETTER ARCHAIC KOPPA,Ϙ
Lu,U+03DA,GREEK LETTER STIGMA,Ϛ
Lu,U+03DC,GREEK LETTER DIGAMMA,Ϝ
Lu,U+03DE,GREEK LETTER KOPPA,Ϟ
Lu,U+03E0,GREEK LETTER SAMPI,Ϡ
Lu,U+03E2,COPTIC CAPITAL LETTER SHEI,Ϣ
Lu,U+03E4,COPTIC CAPITAL LETTER FEI,Ϥ
Lu,U+03E6,COPTIC CAPITAL LETTER KHEI,Ϧ
Lu,U+03E8,COPTIC CAPITAL LETTER HORI,Ϩ
Lu,U+03EA,COPTIC CAPITAL LETTER GANGIA,Ϫ
Lu,U+03EC,COPTIC CAPITAL LETTER SHIMA,Ϭ
Lu,U+03EE,COPTIC CAPITAL LETTER DEI,Ϯ
Lu,U+03F4,GREEK CAPITAL THETA SYMBOL,ϴ
Lu,U+03F7,GREEK CAPITAL LETTER SHO,Ϸ
Lu,U+03F9,GREEK CAPITAL LUNATE SIGMA SYMBOL,Ϲ
Lu,U+03FA,GREEK CAPITAL LETTER SAN,Ϻ
Lu,U+03FD,GREEK CAPITAL REVERSED LUNATE SIGMA SYMBOL,Ͻ
Lu,U+03FE,GREEK CAPITAL DOTTED LUNATE SIGMA SYMBOL,Ͼ
Lu,U+03FF,GREEK CAPITAL REVERSED DOTTED LUNATE SIGMA SYMBOL,Ͽ
Lu,U+0400,CYRILLIC CAPITAL LETTER IE WITH GRAVE,Ѐ
Lu,U+0401,CYRILLIC CAPITAL LETTER IO,Ё
Lu,U+0402,CYRILLIC CAPITAL LETTER DJE,Ђ
Lu,U+0403,CYRILLIC CAPITAL LETTER GJE,Ѓ
Lu,U+0404,CYRILLIC CAPITAL LETTER UKRAINIAN IE,Є
Lu,U+0405,CYRILLIC CAPITAL LETTER DZE,Ѕ
Lu,U+0406,CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I,І
Lu,U+0407,CYRILLIC CAPITAL LETTER YI,Ї
Lu,U+0408,CYRILLIC CAPITAL LETTER JE,Ј
Lu,U+0409,CYRILLIC CAPITAL LETTER LJE,Љ
Lu,U+040A,CYRILLIC CAPITAL LETTER NJE,Њ
Lu,U+040B,CYRILLIC CAPITAL LETTER TSHE,Ћ
Lu,U+040C,CYRILLIC CAPITAL LETTER KJE,Ќ
Lu,U+040D,CYRILLIC CAPITAL LETTER I WITH GRAVE,Ѝ
Lu,U+040E,CYRILLIC CAPITAL LETTER SHORT U,Ў
Lu,U+040F,CYRILLIC CAPITAL LETTER DZHE,Џ
Lu,U+0410,CYRILLIC CAPITAL LETTER A,А
Lu,U+0411,CYRILLIC CAPITAL LETTER BE,Б
Lu,U+0412,CYRILLIC CAPITAL LETTER VE,В
Lu,U+0413,CYRILLIC CAPITAL LETTER GHE,Г
Lu,U+0414,CYRILLIC CAPITAL LETTER DE,Д
Lu,U+0415,CYRILLIC CAPITAL LETTER IE,Е
Lu,U+0416,CYRILLIC CAPITAL LETTER ZHE,Ж
Lu,U+0417,CYRILLIC CAPITAL LETTER ZE,З
Lu,U+0418,CYRILLIC CAPITAL LETTER I,И
Lu,U+0419,CYRILLIC CAPITAL LETTER SHORT I,Й
