category,unicode,name,browser
Nd,U+104A1,OSMANYA DIGIT ONE,𐒡
Nd,U+104A2,OSMANYA DIGIT TWO,𐒢
Nd,U+104A3,OSMANYA DIGIT THREE,𐒣
Nd,U+104A4,OSMANYA DIGIT FOUR,𐒤
Nd,U+104A5,OSMANYA DIGIT FIVE,𐒥
Nd,U+104A6,OSMANYA DIGIT SIX,𐒦
Nd,U+104A7,OSMANYA DIGIT SEVEN,𐒧
Nd,U+104A8,OSMANYA DIGIT EIGHT,𐒨
Nd,U+104A9,OSMANYA DIGIT NINE,𐒩
Nd,U+10D30,HANIFI ROHINGYA DIGIT ZERO,𐴰
Nd,U+10D31,HANIFI ROHINGYA DIGIT ONE,𐴱
Nd,U+10D32,HANIFI ROHINGYA DIGIT TWO,𐴲
Nd,U+10D33,HANIFI ROHINGYA DIGIT THREE,𐴳
Nd,U+10D34,HANIFI ROHINGYA DIGIT FOUR,𐴴
Nd,U+10D35,HANIFI ROHINGYA DIGIT FIVE,𐴵
Nd,U+10D36,HANIFI ROHINGYA DIGIT SIX,𐴶
Nd,U+10D37,HANIFI ROHINGYA DIGIT SEVEN,𐴷
Nd,U+10D38,HANIFI ROHINGYA DIGIT EIGHT,𐴸
Nd,U+10D39,HANIFI ROHINGYA DIGIT NINE,𐴹
Nd,U+11066,BRAHMI DIGIT ZERO,𑁦
Nd,U+11067,BRAHMI DIGIT ONE,𑁧
Nd,U+11068,BRAHMI DIGIT TWO,𑁨
Nd,U+11069,BRAHMI DIGIT THREE,𑁩
Nd,U+1106A,BRAHMI DIGIT FOUR,𑁪
Nd,U+1106B,BRAHMI DIGIT FIVE,𑁫
Nd,U+1106C,BRAHMI DIGIT SIX,𑁬
Nd,U+1106D,BRAHMI DIGIT SEVEN,𑁭
Nd,U+1106E,BRAHMI DIGIT EIGHT,𑁮
Nd,U+1106F,BRAHMI DIGIT NINE,𑁯
Nd,U+110F0,SORA SOMPENG DIGIT ZERO,𑃰
Nd,U+110F1,SORA SOMPENG DIGIT ONE,𑃱
Nd,U+110F2,SORA SOMPENG DIGIT TWO,𑃲
Nd,U+110F3,SORA SOMPENG DIGIT THREE,𑃳
Nd,U+110F4,SORA SOMPENG DIGIT FOUR,𑃴
Nd,U+110F5,SORA SOMPENG DIGIT FIVE,𑃵
Nd,U+110F6,SORA SOMPENG DIGIT SIX,𑃶
Nd,U+110F7,SORA SOMPENG DIGIT SEVEN,𑃷
Nd,U+110F8,SORA SOMPENG DIGIT EIGHT,𑃸
Nd,U+110F9,SORA SOMPENG DIGIT NINE,𑃹
Nd,U+11136,CHAKMA DIGIT ZERO,𑄶
Nd,U+11137,CHAKMA DIGIT ONE,𑄷
Nd,U+11138,CHAKMA DIGIT TWO,𑄸
Nd,U+11139,CHAKMA DIGIT THREE,𑄹
Nd,U+1113A,CHAKMA DIGIT FOUR,𑄺
Nd,U+1113B,CHAKMA DIGIT FIVE,𑄻
Nd,U+1113C,CHAKMA DIGIT SIX,𑄼
Nd,U+1113D,CHAKMA DIGIT SEVEN,𑄽
Nd,U+1113E,CHAKMA DIGIT EIGHT,𑄾
Nd,U+1113F,CHAKMA DIGIT NINE,𑄿
Nd,U+111D0,SHARADA DIGIT ZERO,𑇐
Nd,U+111D1,SHARADA DIGIT ONE,𑇑
Nd,U+111D2,SHARADA DIGIT TWO,𑇒
Nd,U+111D3,SHARADA DIGIT THREE,𑇓
Nd,U+111D4,SHARADA DIGIT FOUR,𑇔
Nd,U+111D5,SHARADA DIGIT FIVE,𑇕
Nd,U+111D6,SHARADA DIGIT SIX,𑇖
Nd,U+111D7,SHARADA DIGIT SEVEN,𑇗
Nd,U+111D8,SHARADA DIGIT EIGHT,𑇘
Nd,U+111D9,SHARADA DIGIT NINE,𑇙
Nd,U+112F0,KHUDAWADI DIGIT ZERO,𑋰
Nd,U+112F1,KHUDAWADI DIGIT ONE,𑋱
Nd,U+112F2,KHUDAWADI DIGIT TWO,𑋲
Nd,U+112F3,KHUDAWADI DIGIT THREE,𑋳
Nd,U+112F4,KHUDAWADI DIGIT FOUR,𑋴
Nd,U+112F5,KHUDAWADI DIGIT FIVE,𑋵
Nd,U+112F6,KHUDAWADI DIGIT SIX,𑋶
Nd,U+112F7,KHUDAWADI DIGIT SEVEN,𑋷
Nd,U+112F8,KHUDAWADI DIGIT EIGHT,𑋸
Nd,U+112F9,KHUDAWADI DIGIT NINE,𑋹
Nd,U+11450,NEWA DIGIT ZERO,𑑐
Nd,U+11451,NEWA DIGIT ONE,𑑑
Nd,U+11452,NEWA DIGIT TWO,𑑒
Nd,U+11453,NEWA DIGIT THREE,𑑓
Nd,U+11454,NEWA DIGIT FOUR,𑑔
Nd,U+11455,NEWA DIGIT FIVE,𑑕
Nd,U+11456,NEWA DIGIT SIX,𑑖
Nd,U+11457,NEWA DIGIT SEVEN,𑑗
